TimeDate,RAW
0:01:50 2018/7/1,119
0:01:50 2018/7/1,118
0:01:50 2018/7/1,112
0:01:50 2018/7/1,100
0:01:50 2018/7/1,99
0:01:50 2018/7/1,91
0:01:50 2018/7/1,68
0:01:50 2018/7/1,48
0:01:50 2018/7/1,24
0:01:50 2018/7/1,11
0:01:50 2018/7/1,20
0:01:50 2018/7/1,41
0:01:50 2018/7/1,29
0:01:50 2018/7/1,-4
0:01:50 2018/7/1,-23
0:01:50 2018/7/1,20
0:01:50 2018/7/1,116
0:01:50 2018/7/1,153
0:01:50 2018/7/1,118
0:01:50 2018/7/1,72
0:01:50 2018/7/1,52
0:01:50 2018/7/1,89
0:01:50 2018/7/1,120
0:01:50 2018/7/1,122
0:01:50 2018/7/1,113
0:01:50 2018/7/1,100
0:01:50 2018/7/1,85
0:01:50 2018/7/1,58
0:01:50 2018/7/1,90
0:01:50 2018/7/1,133
0:01:50 2018/7/1,148
0:01:50 2018/7/1,91
0:01:50 2018/7/1,42
0:01:50 2018/7/1,88
0:01:50 2018/7/1,74
0:01:50 2018/7/1,44
0:01:50 2018/7/1,82
0:01:50 2018/7/1,121
0:01:50 2018/7/1,112
0:01:50 2018/7/1,66
0:01:50 2018/7/1,12
0:01:50 2018/7/1,-13
0:01:50 2018/7/1,-18
0:01:50 2018/7/1,-5
0:01:50 2018/7/1,33
0:01:50 2018/7/1,42
0:01:50 2018/7/1,0
0:01:50 2018/7/1,-11
0:01:50 2018/7/1,65
0:01:50 2018/7/1,117
0:01:50 2018/7/1,104
0:01:50 2018/7/1,82
0:01:50 2018/7/1,85
0:01:50 2018/7/1,72
0:01:50 2018/7/1,54
0:01:50 2018/7/1,59
0:01:50 2018/7/1,68
0:01:50 2018/7/1,81
0:01:50 2018/7/1,89
0:01:50 2018/7/1,80
0:01:50 2018/7/1,98
0:01:50 2018/7/1,146
0:01:50 2018/7/1,151
0:01:50 2018/7/1,97
0:01:50 2018/7/1,74
0:01:50 2018/7/1,119
0:01:50 2018/7/1,151
0:01:50 2018/7/1,134
0:01:50 2018/7/1,137
0:01:50 2018/7/1,109
0:01:50 2018/7/1,68
0:01:50 2018/7/1,84
0:01:50 2018/7/1,98
0:01:50 2018/7/1,91
0:01:50 2018/7/1,106
0:01:50 2018/7/1,134
0:01:50 2018/7/1,149
0:01:50 2018/7/1,156
0:01:50 2018/7/1,180
0:01:50 2018/7/1,195
0:01:50 2018/7/1,171
0:01:50 2018/7/1,148
0:01:50 2018/7/1,121
0:01:50 2018/7/1,113
0:01:50 2018/7/1,138
0:01:50 2018/7/1,146
0:01:50 2018/7/1,118
0:01:50 2018/7/1,107
0:01:50 2018/7/1,113
0:01:50 2018/7/1,117
0:01:50 2018/7/1,121
0:01:50 2018/7/1,129
0:01:50 2018/7/1,135
0:01:50 2018/7/1,121
0:01:50 2018/7/1,129
0:01:50 2018/7/1,123
0:01:50 2018/7/1,102
0:01:50 2018/7/1,113
0:01:50 2018/7/1,146
0:01:50 2018/7/1,156
0:01:50 2018/7/1,153
0:01:50 2018/7/1,133
0:01:50 2018/7/1,101
0:01:50 2018/7/1,87
0:01:50 2018/7/1,85
0:01:50 2018/7/1,91
0:01:50 2018/7/1,90
0:01:50 2018/7/1,81
0:01:50 2018/7/1,92
0:01:50 2018/7/1,135
0:01:50 2018/7/1,109
0:01:50 2018/7/1,50
0:01:50 2018/7/1,45
0:01:50 2018/7/1,84
0:01:50 2018/7/1,68
0:01:50 2018/7/1,33
0:01:50 2018/7/1,23
0:01:50 2018/7/1,36
0:01:50 2018/7/1,58
0:01:50 2018/7/1,73
0:01:50 2018/7/1,66
0:01:50 2018/7/1,50
0:01:50 2018/7/1,48
0:01:50 2018/7/1,70
0:01:50 2018/7/1,90
0:01:50 2018/7/1,86
0:01:50 2018/7/1,80
0:01:50 2018/7/1,80
0:01:50 2018/7/1,68
0:01:50 2018/7/1,49
0:01:50 2018/7/1,35
0:01:50 2018/7/1,22
0:01:50 2018/7/1,3
0:01:50 2018/7/1,0
0:01:50 2018/7/1,3
0:01:50 2018/7/1,2
0:01:50 2018/7/1,11
0:01:50 2018/7/1,23
0:01:50 2018/7/1,8
0:01:50 2018/7/1,8
0:01:50 2018/7/1,19
0:01:50 2018/7/1,20
0:01:50 2018/7/1,19
0:01:50 2018/7/1,18
0:01:50 2018/7/1,18
0:01:50 2018/7/1,22
0:01:50 2018/7/1,19
0:01:50 2018/7/1,9
0:01:50 2018/7/1,5
0:01:50 2018/7/1,7
0:01:50 2018/7/1,8
0:01:50 2018/7/1,8
0:01:50 2018/7/1,5
0:01:50 2018/7/1,-5
0:01:50 2018/7/1,-1
0:01:50 2018/7/1,12
0:01:50 2018/7/1,27
0:01:50 2018/7/1,32
0:01:50 2018/7/1,17
0:01:50 2018/7/1,-7
0:01:50 2018/7/1,-10
0:01:50 2018/7/1,2
0:01:50 2018/7/1,7
0:01:50 2018/7/1,12
0:01:50 2018/7/1,25
0:01:50 2018/7/1,27
0:01:50 2018/7/1,11
0:01:50 2018/7/1,1
0:01:50 2018/7/1,-1
0:01:50 2018/7/1,-2
0:01:50 2018/7/1,-5
0:01:50 2018/7/1,-6
0:01:50 2018/7/1,-6
0:01:50 2018/7/1,-1
0:01:50 2018/7/1,3
0:01:50 2018/7/1,0
0:01:50 2018/7/1,-1
0:01:50 2018/7/1,4
0:01:50 2018/7/1,6
0:01:50 2018/7/1,1
0:01:50 2018/7/1,-8
0:01:50 2018/7/1,-14
0:01:50 2018/7/1,-21
0:01:50 2018/7/1,-25
0:01:50 2018/7/1,-12
0:01:50 2018/7/1,3
0:01:50 2018/7/1,2
0:01:50 2018/7/1,-9
0:01:50 2018/7/1,-20
0:01:50 2018/7/1,-19
0:01:50 2018/7/1,-2
0:01:50 2018/7/1,7
0:01:50 2018/7/1,0
0:01:50 2018/7/1,-12
0:01:50 2018/7/1,-19
0:01:50 2018/7/1,-19
0:01:50 2018/7/1,-20
0:01:50 2018/7/1,-29
0:01:50 2018/7/1,-35
0:01:50 2018/7/1,-25
0:01:50 2018/7/1,-25
0:01:50 2018/7/1,-35
0:01:50 2018/7/1,-28
0:01:50 2018/7/1,-10
0:01:50 2018/7/1,1
0:01:50 2018/7/1,11
0:01:50 2018/7/1,12
0:01:50 2018/7/1,-1
0:01:50 2018/7/1,-10
0:01:50 2018/7/1,-17
0:01:50 2018/7/1,-12
0:01:50 2018/7/1,-5
0:01:50 2018/7/1,-7
0:01:50 2018/7/1,-18
0:01:50 2018/7/1,-10
0:01:50 2018/7/1,6
0:01:50 2018/7/1,10
0:01:50 2018/7/1,4
0:01:50 2018/7/1,4
0:01:50 2018/7/1,17
0:01:50 2018/7/1,23
0:01:50 2018/7/1,22
0:01:50 2018/7/1,24
0:01:50 2018/7/1,33
0:01:50 2018/7/1,37
0:01:50 2018/7/1,35
0:01:50 2018/7/1,26
0:01:50 2018/7/1,19
0:01:50 2018/7/1,17
0:01:50 2018/7/1,19
0:01:50 2018/7/1,26
0:01:50 2018/7/1,37
0:01:50 2018/7/1,43
0:01:50 2018/7/1,42
0:01:50 2018/7/1,48
0:01:50 2018/7/1,65
0:01:50 2018/7/1,66
0:01:50 2018/7/1,54
0:01:50 2018/7/1,42
0:01:50 2018/7/1,34
0:01:50 2018/7/1,22
0:01:50 2018/7/1,16
0:01:50 2018/7/1,19
0:01:50 2018/7/1,23
0:01:50 2018/7/1,21
0:01:50 2018/7/1,20
0:01:50 2018/7/1,19
0:01:50 2018/7/1,16
0:01:50 2018/7/1,16
0:01:50 2018/7/1,17
0:01:50 2018/7/1,24
0:01:50 2018/7/1,35
0:01:50 2018/7/1,45
0:01:50 2018/7/1,52
0:01:50 2018/7/1,48
0:01:50 2018/7/1,34
0:01:50 2018/7/1,28
0:01:50 2018/7/1,37
0:01:50 2018/7/1,39
0:01:50 2018/7/1,41
0:01:50 2018/7/1,54
0:01:50 2018/7/1,59
0:01:50 2018/7/1,65
0:01:50 2018/7/1,72
0:01:50 2018/7/1,71
0:01:50 2018/7/1,64
0:01:50 2018/7/1,60
